ID do Cliente,Nome do Cliente,Email,Telefone,Cidade,Estado,País,Data de Cadastro
77,Andrew Bonilla,billy74@example.org,+1-471-595-5853x57544,Lake Isabellatown,New York,Colombia,2022-05-16
78,Paul Munoz,dyerbrandon@example.com,(820)805-5087x831,Pruittstad,Massachusetts,Norfolk Island,2021-09-14
79,Willie Burns,maria11@example.org,763.481.4399,Lake Kurt,Indiana,Andorra,2021-08-23
80,Christopher Bruce,brownmaria@example.com,(363)944-6040x259,Whiteside,Rhode Island,Jersey,2020-09-27
81,Kari Bradshaw,denise56@example.org,533.211.6668x904,Port Georgeton,Oklahoma,Taiwan,2020-01-18
82,Roberta Ellis,ipadilla@example.com,7997992225,Pricebury,West Virginia,Argentina,2023-07-24
83,Ronald Lopez,smitchell@example.org,+1-627-385-2414x810,New Kimberly,Kentucky,Mali,2022-11-22
84,Dr. Donald Matthews,thorton@example.org,400.824.1138x0438,West Austin,West Virginia,Congo,2021-09-15
85,Reginald Jones,kevin77@example.com,823-786-3518,North David,Alaska,Marshall Islands,2019-04-13
86,Anita Carter,gmaldonado@example.org,(856)447-6124x8281,Tiffanyhaven,Kansas,Slovenia,2020-06-16
87,Jason Hinton,warrencharles@example.com,8469455554,Danielstad,Pennsylvania,Rwanda,2019-10-15
88,Mary Green,shannon10@example.com,929-460-0724,Lake Elizabeth,West Virginia,Albania,2019-01-07
89,Gary Walker,alyssa91@example.com,+1-702-319-9893x08190,Port Alexandria,Nevada,Guernsey,2019-05-29
90,Jennifer Smith,crystalperkins@example.org,542.557.3665x367,Wellsville,Delaware,Albania,2019-04-30
91,Christopher Jackson,bowmanrenee@example.org,(541)269-1739,Kirkburgh,Delaware,Saint Martin,2022-05-27
92,Alexis Townsend,kathrynking@example.org,(257)666-9091x41958,Brianport,Montana,Saint Vincent and the Grenadines,2020-12-09
93,Kyle Quinn,ihahn@example.org,(538)624-8802x17869,Alexanderview,Montana,Swaziland,2022-08-28
94,Jenna Clay,matthewsavage@example.org,+1-321-261-9283,Lauramouth,Rhode Island,Cyprus,2020-12-07
95,Elizabeth Gomez,peter89@example.org,001-962-557-3084,North Scottberg,Pennsylvania,United States of America,2019-03-23
96,Mary Guerra,brandidiaz@example.org,636-563-4163x1851,South William,Tennessee,Egypt,2021-08-09
97,Jessica Maddox,hensleyjohn@example.net,689.524.3459,Timothybury,Oklahoma,Benin,2020-03-29
98,Emily Hernandez,michael72@example.org,483.422.6978x537,Port Jessica,Maine,Brunei Darussalam,2019-02-22
99,Martha Crawford,campbelltammy@example.org,+1-473-214-4284,East James,Vermont,Tunisia,2019-07-26
100,Madison Rose,xavier52@example.com,(550)834-3135x21566,North Craigport,Utah,Colombia,2021-03-31
